,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
9,2021-01-01,,,0.034637752228548147,0.06420717184116498,,,,0.09221313933717923,,lagasca Property
10,2021-04-01,,,0.02815334922876489,0.05849547664123733,,,,0.08969446704629824,,lagasca Property
11,2021-07-01,,,0.026038192041585084,0.058630389443006914,,,,0.09053950771393349,,lagasca Property
12,2021-10-01,,,0.037520720382877126,0.07183537491819258,,,,0.1037341158094427,,lagasca Property
13,2022-01-01,,,0.0358436801323494,0.07052749428665539,,,,0.10363915312561667,,lagasca Property
14,2022-04-01,,,0.032674494502823004,0.06871435015790528,,,,0.10442277181952586,,lagasca Property
15,2022-07-01,,,0.03792202654967092,0.07689647913813724,,,,0.11372284052984094,,lagasca Property
16,2022-10-01,,,0.02155412080078678,0.0627630540507409,,,,0.10299574321691063,,lagasca Property
17,2023-01-01,,,-0.006101627009173827,0.03774332608930875,,,,0.07978842143072051,,lagasca Property
18,2023-04-01,,,-0.023779792328368132,0.022447838275264198,,,,0.0658765167889317,,lagasca Property
19,2023-07-01,,,-0.03733870094289182,0.01189564859004677,,,,0.057193750474896055,,lagasca Property
20,2023-10-01,,,-0.04023179524683218,0.009913234333040588,,,,0.05476138304378475,,lagasca Property
